ROWNAME	Name	TissueType	DataSource	OncoTree1	OncoTree2	OncoTree3	OncoTree4
1	BR:MCF7	breast	NCI-60	Breast	NA	NA	NA
2	BR:MDA-MB-231	breast	NCI-60	Breast	NA	NA	NA
3	BR:HS 578T	breast	NCI-60	Breast	NA	NA	NA
4	BR:BT-549	breast	NCI-60	Breast	NA	NA	NA
5	BR:T-47D	breast	NCI-60	Breast	NA	NA	NA
6	CNS:SF-268	central nervous system	NCI-60	Brain_CNS	NA	NA	NA
7	CNS:SF-295	central nervous system	NCI-60	Brain_CNS	NA	NA	NA
8	CNS:SF-539	central nervous system	NCI-60	Brain_CNS	NA	NA	NA
9	CNS:SNB-19	central nervous system	NCI-60	Brain_CNS	NA	NA	NA
10	CNS:SNB-75	central nervous system	NCI-60	Brain_CNS	NA	NA	NA
11	CNS:U251	central nervous system	NCI-60	Brain_CNS	NA	NA	NA
12	CO:COLO 205	colon	NCI-60	Bowel	NA	NA	NA
13	CO:HCC-2998	colon	NCI-60	Bowel	NA	NA	NA
14	CO:HCT-116	colon	NCI-60	Bowel	NA	NA	NA
15	CO:HCT-15	colon	NCI-60	Bowel	NA	NA	NA
16	CO:HT29	colon	NCI-60	Bowel	NA	NA	NA
17	CO:KM12	colon	NCI-60	Bowel	NA	NA	NA
18	CO:SW-620	colon	NCI-60	Bowel	NA	NA	NA
19	LE:CCRF-CEM	leukemia	NCI-60	Blood	NA	NA	NA
20	LE:HL-60(TB)	leukemia	NCI-60	Blood	NA	NA	NA
21	LE:K-562	leukemia	NCI-60	Blood	NA	NA	NA
22	LE:MOLT-4	leukemia	NCI-60	Blood	NA	NA	NA
23	LE:RPMI-8226	leukemia	NCI-60	Blood	NA	NA	NA
24	LE:SR	leukemia	NCI-60	Blood	NA	NA	NA
25	ME:LOX IMVI	melanoma	NCI-60	Skin	Melanoma (MEL)	NA	NA
26	ME:MALME-3M	melanoma	NCI-60	Skin	Melanoma (MEL)	NA	NA
27	ME:M14	melanoma	NCI-60	Skin	Melanoma (MEL)	NA	NA
28	ME:SK-MEL-2	melanoma	NCI-60	Skin	Melanoma (MEL)	NA	NA
29	ME:SK-MEL-28	melanoma	NCI-60	Skin	Melanoma (MEL)	NA	NA
30	ME:SK-MEL-5	melanoma	NCI-60	Skin	Melanoma (MEL)	NA	NA
31	ME:UACC-257	melanoma	NCI-60	Skin	Melanoma (MEL)	NA	NA
32	ME:UACC-62	melanoma	NCI-60	Skin	Melanoma (MEL)	NA	NA
33	ME:MDA-MB-435	melanoma	NCI-60	Skin	Melanoma (MEL)	NA	NA
34	ME:MDA-N	melanoma	NCI-60	Skin	Melanoma (MEL)	NA	NA
35	LC:A549/ATCC	lung	NCI-60	Lung	NA	NA	NA
36	LC:EKVX	lung	NCI-60	Lung	NA	NA	NA
37	LC:HOP-62	lung	NCI-60	Lung	NA	NA	NA
38	LC:HOP-92	lung	NCI-60	Lung	NA	NA	NA
39	LC:NCI-H226	lung	NCI-60	Lung	NA	NA	NA
40	LC:NCI-H23	lung	NCI-60	Lung	NA	NA	NA
41	LC:NCI-H322M	lung	NCI-60	Lung	NA	NA	NA
42	LC:NCI-H460	lung	NCI-60	Lung	NA	NA	NA
43	LC:NCI-H522	lung	NCI-60	Lung	NA	NA	NA
44	OV:IGROV1	ovarian	NCI-60	Ovary	NA	NA	NA
45	OV:OVCAR-3	ovarian	NCI-60	Ovary	NA	NA	NA
46	OV:OVCAR-4	ovarian	NCI-60	Ovary	NA	NA	NA
47	OV:OVCAR-5	ovarian	NCI-60	Ovary	NA	NA	NA
48	OV:OVCAR-8	ovarian	NCI-60	Ovary	NA	NA	NA
49	OV:SK-OV-3	ovarian	NCI-60	Ovary	NA	NA	NA
50	OV:NCI/ADR-RES	ovarian	NCI-60	Ovary	NA	NA	NA
51	PR:PC-3	prostrate	NCI-60	Prostate	NA	NA	NA
52	PR:DU-145	prostrate	NCI-60	Prostate	NA	NA	NA
53	RE:786-0	renal	NCI-60	Kidney	NA	NA	NA
54	RE:A498	renal	NCI-60	Kidney	NA	NA	NA
55	RE:ACHN	renal	NCI-60	Kidney	NA	NA	NA
56	RE:CAKI-1	renal	NCI-60	Kidney	NA	NA	NA
57	RE:RXF 393	renal	NCI-60	Kidney	NA	NA	NA
58	RE:SN12C	renal	NCI-60	Kidney	NA	NA	NA
59	RE:TK-10	renal	NCI-60	Kidney	NA	NA	NA
60	RE:UO-31	renal	NCI-60	Kidney	NA	NA	NA
61	1321N1	central_nervous_system: astrocytoma	CCLE	Brain_CNS	Diffuse Glioma (DIFG)	Astrocytoma (ASTR)	NA
62	143B	bone: osteosarcoma	CCLE	Bone	Osteosarcoma (OS)	NA	NA
63	22Rv1	prostate: carcinoma	CCLE	Prostate	NA	NA	NA
64	23132/87	stomach: adenocarcinoma	CCLE	Esophagus_Stomach	Esophagogastric Adenocarcinoma (EGC)	Stomach Adenocarcinoma (STAD)	NA
65	253J	urinary_tract: transitional_cell_carcinoma	CCLE	Bladder_Urinary_Tract	Bladder Urothelial Carcinoma (BLCA)	NA	NA
66	253J-BV	urinary_tract: transitional_cell_carcinoma	CCLE	Bladder_Urinary_Tract	Bladder Urothelial Carcinoma (BLCA)	NA	NA
