""	"APM_signature"
"BR:MCF7"	-0.82628450292522
"BR:MDA-MB-231"	0.484798278677585
"BR:HS 578T"	0.0853749692662718
"BR:BT-549"	0.345075815336512
"BR:T-47D"	-0.181404484677032
"CNS:SF-268"	-0.276918730896314
"CNS:SF-295"	0.501455353356642
"CNS:SF-539"	0.549221486275005
"CNS:SNB-19"	-0.37523780686911
"CNS:SNB-75"	0.357419873264885
"CNS:U251"	-0.138172801260085
"CO:COLO 205"	0.229214435989697
"CO:HCC-2998"	-0.018992718060077
"CO:HCT-116"	-0.525762596432432
"CO:HCT-15"	-0.239796579912986
"CO:HT29"	0.44551565418271
"CO:KM12"	-0.44388987212417
"CO:SW-620"	-0.56019327646165
"LE:CCRF-CEM"	0.207473192869738
"LE:HL-60(TB)"	0.103835020111992
"LE:K-562"	-0.545013345261784
"LE:MOLT-4"	0.118800494924336
"LE:RPMI-8226"	0.480812775266659
"LE:SR"	0.525343384515293
"ME:LOX IMVI"	-0.0467964235026789
"ME:MALME-3M"	0.0537673224897442
"ME:M14"	0.427847763828544
"ME:SK-MEL-2"	0.13016462202981
"ME:SK-MEL-28"	-0.0413628624254858
"ME:SK-MEL-5"	-0.0836204929173699
"ME:UACC-257"	-0.287586939802593
"ME:UACC-62"	-0.235549724445536
"ME:MDA-MB-435"	0.160467504117716
"ME:MDA-N"	0.116168800026334
"LC:A549/ATCC"	-0.513779648931654
"LC:EKVX"	-0.527790669551393
"LC:HOP-62"	0.0216690743415807
"LC:HOP-92"	0.232635781006891
"LC:NCI-H226"	0.572828886056771
"LC:NCI-H23"	-0.0299739646732181
"LC:NCI-H322M"	-0.250744742501953
"LC:NCI-H460"	-0.11540008732165
"LC:NCI-H522"	-0.602150601804073
"OV:IGROV1"	-0.563655453210008
"OV:OVCAR-3"	-0.335898070132913
"OV:OVCAR-4"	-0.162455057287606
"OV:OVCAR-5"	-0.050381154271901
"OV:OVCAR-8"	-0.1312835023052
"OV:SK-OV-3"	-0.224489049177067
"OV:NCI/ADR-RES"	-0.0706168926393516
"PR:PC-3"	-0.355434654649188
"PR:DU-145"	0.206307223918003
"RE:786-0"	0.551440305415106
"RE:A498"	0.486985908048465
"RE:ACHN"	0.213762830386775
"RE:CAKI-1"	0.338194763670724
"RE:RXF 393"	0.613920543982
"RE:SN12C"	0.528595146814602
"RE:TK-10"	-0.07408937099774
"RE:UO-31"	0.21044157360792
