Name	TissueType	OncoTree1	source	Cell.line	From.RNAseq.expression	From.ATCC	Chavez.et.al.2010	Dai.et.al.2017	Lehmann.et.al.2011	Combined
BR:BT-549	breast	Breast	NCI60	BT549	Triple negative	Triple negative	Triple negative	Triple negative	Triple negative	Triple negative
BR:HS 578T	breast	Breast	NCI60	HS578T	Triple negative	Triple negative	Triple negative	Triple negative	Triple negative	Triple negative
BR:MCF7	breast	Breast	NCI60	NA	NA	NA	NA	NA	NA	NA
BR:MDA-MB-231	breast	Breast	NCI60	MDAMB231	Triple negative	Triple negative	Triple negative	Triple negative	Triple negative	Triple negative
BR:T-47D	breast	Breast	NCI60	NA	NA	NA	NA	NA	NA	NA
AU565	BRCA	Breast	GDSC	NA	NA	NA	NA	NA	NA	NA
BT-20	BRCA	Breast	GDSC	BT20		Triple negative	Triple negative	Triple negative	Triple negative	Triple negative
BT-474	BRCA	Breast	GDSC	NA	NA	NA	NA	NA	NA	NA
BT-483	BRCA	Breast	GDSC	NA	NA	NA	NA	NA	NA	NA
BT-549	NA	Breast	GDSC	BT549	Triple negative	Triple negative	Triple negative	Triple negative	Triple negative	Triple negative
CAL-120	BRCA	Breast	GDSC	CAL120	Triple negative			Triple negative	Triple negative	Triple negative
CAL-148	NA	Breast	GDSC	CAL148				Triple negative	Triple negative	Triple negative
CAL-51	BRCA	Breast	GDSC	CAL51			Triple negative	Triple negative	Triple negative	Triple negative
CAL-85-1	BRCA	Breast	GDSC	CAL851				Triple negative	Triple negative	Triple negative
CAMA-1	BRCA	Breast	GDSC	NA	NA	NA	NA	NA	NA	NA
COLO-824	BRCA	Breast	GDSC	NA	NA	NA	NA	NA	NA	NA
DU-4475	BRCA	Breast	GDSC	DU4475	Triple negative	Triple negative		Triple negative	Triple negative	Triple negative
EFM-19	BRCA	Breast	GDSC	NA	NA	NA	NA	NA	NA	NA
EFM-192A	BRCA	Breast	GDSC	NA	NA	NA	NA	NA	NA	NA
EVSA-T	BRCA	Breast	GDSC	NA	NA	NA	NA	NA	NA	NA
HCC1143	NA	Breast	GDSC	HCC1143		Triple negative	Triple negative	Triple negative	Triple negative	Triple negative
HCC1187	BRCA	Breast	GDSC	HCC1187		Triple negative	Triple negative	Triple negative	Triple negative	Triple negative
HCC1395	NA	Breast	GDSC	HCC1395	Triple negative	Triple negative	Triple negative	Triple negative	Triple negative	Triple negative
HCC1419	BRCA	Breast	GDSC	NA	NA	NA	NA	NA	NA	NA
HCC1428	BRCA	Breast	GDSC	NA	NA	NA	NA	NA	NA	NA
HCC1500	BRCA	Breast	GDSC	NA	NA	NA	NA	NA	NA	NA
HCC1569	BRCA	Breast	GDSC	NA	NA	NA	NA	NA	NA	NA
HCC1599	NA	Breast	GDSC	HCC1599		Triple negative	Triple negative	Triple negative	Triple negative	Triple negative
HCC1806	NA	Breast	GDSC	HCC1806		Triple negative	Triple negative	Triple negative	Triple negative	Triple negative
HCC1937	NA	Breast	GDSC	HCC1937		Triple negative	Triple negative	Triple negative	Triple negative	Triple negative
HCC1954	BRCA	Breast	GDSC	NA	NA	NA	NA	NA	NA	NA
HCC202	BRCA	Breast	GDSC	NA	NA	NA	NA	NA	NA	NA
HCC2157	BRCA	Breast	GDSC	HCC2157			Triple negative	Triple negative	Triple negative	Triple negative
HCC2218	BRCA	Breast	GDSC	NA	NA	NA	NA	NA	NA	NA
HCC38	BRCA	Breast	GDSC	HCC38		Triple negative	Triple negative	Triple negative	Triple negative	Triple negative
HCC70	BRCA	Breast	GDSC	HCC70		Triple negative		Triple negative	Triple negative	Triple negative
HDQ-P1	BRCA	Breast	GDSC	HDQP1				Triple negative	Triple negative	Triple negative
Hs-578-T	BRCA	Breast	GDSC	HS578T	Triple negative	Triple negative	Triple negative	Triple negative	Triple negative	Triple negative
JIMT-1	BRCA	Breast	GDSC	NA	NA	NA	NA	NA	NA	NA
MB157	NA	Breast	GDSC	MDAMB157	Triple negative	Triple negative	Triple negative	Triple negative	Triple negative	Triple negative
MCF7	NA	Breast	GDSC	NA	NA	NA	NA	NA	NA	NA
MDA-MB-134-VI	NA	Breast	GDSC	NA	NA	NA	NA	NA	NA	NA
MDA-MB-157	BRCA	Breast	GDSC	MDAMB157	Triple negative	Triple negative	Triple negative	Triple negative	Triple negative	Triple negative
MDA-MB-175-VII	BRCA	Breast	GDSC	NA	NA	NA	NA	NA	NA	NA
MDA-MB-231	BRCA	Breast	GDSC	MDAMB231	Triple negative	Triple negative	Triple negative	Triple negative	Triple negative	Triple negative
MDA-MB-330	NA	Breast	GDSC	NA	NA	NA	NA	NA	NA	NA
MDA-MB-361	BRCA	Breast	GDSC	NA	NA	NA	NA	NA	NA	NA
MDA-MB-415	BRCA	Breast	GDSC	NA	NA	NA	NA	NA	NA	NA
MDA-MB-436	BRCA	Breast	GDSC	MDAMB436	Triple negative	Triple negative	Triple negative	Triple negative	Triple negative	Triple negative
MDA-MB-453	BRCA	Breast	GDSC	MDAMB453		Triple negative			Triple negative	Triple negative
MDA-MB-468	NA	Breast	GDSC	MDAMB468	Triple negative	Triple negative	Triple negative	Triple negative	Triple negative	Triple negative
MFM-223	NA	Breast	GDSC	MFM223				Triple negative	Triple negative	Triple negative
MRK-nu-1	BRCA	Breast	GDSC	NA	NA	NA	NA	NA	NA	NA
OCUB-M	BRCA	Breast	GDSC	NA	NA	NA	NA	NA	NA	NA
T47D	NA	Breast	GDSC	NA	NA	NA	NA	NA	NA	NA
UACC-812	NA	Breast	GDSC	NA	NA	NA	NA	NA	NA	NA
UACC-893	BRCA	Breast	GDSC	NA	NA	NA	NA	NA	NA	NA
YMB-1-E	BRCA	Breast	GDSC	NA	NA	NA	NA	NA	NA	NA
ZR-75-30	NA	Breast	GDSC	NA	NA	NA	NA	NA	NA	NA
AU565	breast: carcinoma	Breast	CTRP	NA	NA	NA	NA	NA	NA	NA
BT-20	breast: ductal_carcinoma	Breast	CTRP	BT20		Triple negative	Triple negative	Triple negative	Triple negative	Triple negative
BT-474	breast: ductal_carcinoma	Breast	CTRP	NA	NA	NA	NA	NA	NA	NA
BT-549	breast: ductal_carcinoma	Breast	CTRP	BT549	Triple negative	Triple negative	Triple negative	Triple negative	Triple negative	Triple negative
CAL-120	breast: carcinoma	Breast	CTRP	CAL120	Triple negative			Triple negative	Triple negative	Triple negative
CAL-148	breast: ductal_carcinoma	Breast	CTRP	CAL148				Triple negative	Triple negative	Triple negative
CAL-51	breast: carcinoma	Breast	CTRP	CAL51			Triple negative	Triple negative	Triple negative	Triple negative
CAL-85-1	breast: carcinoma	Breast	CTRP	CAL851				Triple negative	Triple negative	Triple negative
CAMA-1	breast: carcinoma	Breast	CTRP	NA	NA	NA	NA	NA	NA	NA
DU4475	breast: ductal_carcinoma	Breast	CTRP	DU4475	Triple negative	Triple negative		Triple negative	Triple negative	Triple negative
EFM-192A	breast: carcinoma	Breast	CTRP	NA	NA	NA	NA	NA	NA	NA
HCC1143	breast: ductal_carcinoma	Breast	CTRP	HCC1143		Triple negative	Triple negative	Triple negative	Triple negative	Triple negative
HCC1395	breast: ductal_carcinoma	Breast	CTRP	HCC1395	Triple negative	Triple negative	Triple negative	Triple negative	Triple negative	Triple negative
HCC1419	breast: ductal_carcinoma	Breast	CTRP	NA	NA	NA	NA	NA	NA	NA
HCC1428	breast: carcinoma	Breast	CTRP	NA	NA	NA	NA	NA	NA	NA
HCC1500	breast: ductal_carcinoma	Breast	CTRP	NA	NA	NA	NA	NA	NA	NA
HCC1569	breast: metaplastic_carcinoma	Breast	CTRP	NA	NA	NA	NA	NA	NA	NA
HCC1806	breast: ductal_carcinoma	Breast	CTRP	HCC1806		Triple negative	Triple negative	Triple negative	Triple negative	Triple negative
HCC1937	breast: ductal_carcinoma	Breast	CTRP	HCC1937		Triple negative	Triple negative	Triple negative	Triple negative	Triple negative
HCC1954	breast: ductal_carcinoma	Breast	CTRP	NA	NA	NA	NA	NA	NA	NA
HCC202	breast: ductal_carcinoma	Breast	CTRP	NA	NA	NA	NA	NA	NA	NA
HCC2218	breast: ductal_carcinoma	Breast	CTRP	NA	NA	NA	NA	NA	NA	NA
HCC38	breast: ductal_carcinoma	Breast	CTRP	HCC38		Triple negative	Triple negative	Triple negative	Triple negative	Triple negative
HDQ-P1	breast: ductal_carcinoma	Breast	CTRP	HDQP1				Triple negative	Triple negative	Triple negative
HMC-1-8	breast: carcinoma	Breast	CTRP	HMC18	Triple negative					
Hs 578T	breast: ductal_carcinoma	Breast	CTRP	HS578T	Triple negative	Triple negative	Triple negative	Triple negative	Triple negative	Triple negative
JIMT-1	breast: ductal_carcinoma	Breast	CTRP	NA	NA	NA	NA	NA	NA	NA
KPL-1	breast: ductal_carcinoma	Breast	CTRP	NA	NA	NA	NA	NA	NA	NA
MCF7	breast: carcinoma	Breast	CTRP	NA	NA	NA	NA	NA	NA	NA
MDA-MB-157	breast: ductal_carcinoma	Breast	CTRP	MDAMB157	Triple negative	Triple negative	Triple negative	Triple negative	Triple negative	Triple negative
MDA-MB-231	breast: carcinoma	Breast	CTRP	MDAMB231	Triple negative	Triple negative	Triple negative	Triple negative	Triple negative	Triple negative
MDA-MB-361	breast: carcinoma	Breast	CTRP	NA	NA	NA	NA	NA	NA	NA
MDA-MB-415	breast: carcinoma	Breast	CTRP	NA	NA	NA	NA	NA	NA	NA
MDA-MB-453	breast: carcinoma	Breast	CTRP	MDAMB453		Triple negative			Triple negative	Triple negative
MDA-MB-468	breast: carcinoma	Breast	CTRP	MDAMB468	Triple negative	Triple negative	Triple negative	Triple negative	Triple negative	Triple negative
SK-BR-3	breast: carcinoma	Breast	CTRP	NA	NA	NA	NA	NA	NA	NA
T-47D	breast: ductal_carcinoma	Breast	CTRP	NA	NA	NA	NA	NA	NA	NA
UACC-812	breast: ductal_carcinoma	Breast	CTRP	NA	NA	NA	NA	NA	NA	NA
ZR-75-1	breast: ductal_carcinoma	Breast	CTRP	NA	NA	NA	NA	NA	NA	NA
ZR-75-30	breast: ductal_carcinoma	Breast	CTRP	NA	NA	NA	NA	NA	NA	NA
AU565	breast: carcinoma	Breast	CCLE	NA	NA	NA	NA	NA	NA	NA
BT-20	breast: ductal_carcinoma	Breast	CCLE	BT20		Triple negative	Triple negative	Triple negative	Triple negative	Triple negative
BT-474	breast: ductal_carcinoma	Breast	CCLE	NA	NA	NA	NA	NA	NA	NA
BT-483	breast: ductal_carcinoma	Breast	CCLE	NA	NA	NA	NA	NA	NA	NA
BT-549	breast: ductal_carcinoma	Breast	CCLE	BT549	Triple negative	Triple negative	Triple negative	Triple negative	Triple negative	Triple negative
CAL-120	breast: carcinoma	Breast	CCLE	CAL120	Triple negative			Triple negative	Triple negative	Triple negative
CAL-148	breast: ductal_carcinoma	Breast	CCLE	CAL148				Triple negative	Triple negative	Triple negative
CAL-51	breast: carcinoma	Breast	CCLE	CAL51			Triple negative	Triple negative	Triple negative	Triple negative
CAL-85-1	breast: carcinoma	Breast	CCLE	CAL851				Triple negative	Triple negative	Triple negative
CAMA-1	breast: carcinoma	Breast	CCLE	NA	NA	NA	NA	NA	NA	NA
DU4475	breast: ductal_carcinoma	Breast	CCLE	DU4475	Triple negative	Triple negative		Triple negative	Triple negative	Triple negative
EFM-19	breast: ductal_carcinoma	Breast	CCLE	NA	NA	NA	NA	NA	NA	NA
EFM-192A	breast: carcinoma	Breast	CCLE	NA	NA	NA	NA	NA	NA	NA
EVSA-T	breast: carcinoma	Breast	CCLE	NA	NA	NA	NA	NA	NA	NA
HCC1143	breast: ductal_carcinoma	Breast	CCLE	HCC1143		Triple negative	Triple negative	Triple negative	Triple negative	Triple negative
HCC1187	breast: ductal_carcinoma	Breast	CCLE	HCC1187		Triple negative	Triple negative	Triple negative	Triple negative	Triple negative
HCC1395	breast: ductal_carcinoma	Breast	CCLE	HCC1395	Triple negative	Triple negative	Triple negative	Triple negative	Triple negative	Triple negative
HCC1419	breast: ductal_carcinoma	Breast	CCLE	NA	NA	NA	NA	NA	NA	NA
HCC1428	breast: carcinoma	Breast	CCLE	NA	NA	NA	NA	NA	NA	NA
HCC1500	breast: ductal_carcinoma	Breast	CCLE	NA	NA	NA	NA	NA	NA	NA
HCC1569	breast: metaplastic_carcinoma	Breast	CCLE	NA	NA	NA	NA	NA	NA	NA
HCC1599	breast: ductal_carcinoma	Breast	CCLE	HCC1599		Triple negative	Triple negative	Triple negative	Triple negative	Triple negative
HCC1806	breast: ductal_carcinoma	Breast	CCLE	HCC1806		Triple negative	Triple negative	Triple negative	Triple negative	Triple negative
HCC1937	breast: ductal_carcinoma	Breast	CCLE	HCC1937		Triple negative	Triple negative	Triple negative	Triple negative	Triple negative
HCC1954	breast: ductal_carcinoma	Breast	CCLE	NA	NA	NA	NA	NA	NA	NA
HCC202	breast: ductal_carcinoma	Breast	CCLE	NA	NA	NA	NA	NA	NA	NA
HCC2157	breast: ductal_carcinoma	Breast	CCLE	HCC2157			Triple negative	Triple negative	Triple negative	Triple negative
HCC2218	breast: ductal_carcinoma	Breast	CCLE	NA	NA	NA	NA	NA	NA	NA
HCC38	breast: ductal_carcinoma	Breast	CCLE	HCC38		Triple negative	Triple negative	Triple negative	Triple negative	Triple negative
HCC70	breast: ductal_carcinoma	Breast	CCLE	HCC70		Triple negative		Triple negative	Triple negative	Triple negative
