Cell Line Name	tissue of origin	age	sex	prior treatment	Epithelial	histology	source	ploidy	p53	mdr	doubling time	Institute 	Contributor	Reference
BR:MCF7	Breast	69	F	NA	yes	Adenocarcinoma- mammary gland; breast; metastatic site: pleural effusion;	Pleural effusion	"3n-, Hypotriploid (58-68)"	WT	14	25.4	Michigan Cancer Foundtion	C.M. McGrath	"JNCI 51: 1409-1417,1973"
BR:MDA_MB_231	Breast	51	F	NA	yes	Adenocarcinoma-mammary gland; breast; epithelial; metastatic site: pleural effusion;	Pleural effusion	"2n+, Hyperdiploid (47-57)"	MT	29	41.9	MD Anderson Hospital and Tumor Institute	R. Cailleau	"JNCI 53(3): 661-674,1974"
BR:HS578T	Breast	74	F	NA	yes	Carcinosarcoma-mammary gland; breast	Primary	"2n+, Hyperdiploid (47-57)"	MT	NA	53.8	Naval Bioscience Laboratory	A.J. Hackett	"JNCI 58: 1795-1806,1977"
BR:BT_549	Breast	72	F	NA	yes	Papillary infiltrating ductal carcinoma-mammary gland; breast	Metastasis	"3n+/-, Near-triploid 69+/- (58-80)"	?	-45	53.9	?	W. Coutinho; E.Y. Lasfargues	no pub
BR:T47D	Breast	54	F	NA	yes	infiltrating ductal carcinoma	NA	"2n+, Hyperdiploid (47-57)"	MT	19	45.5	?	I. Keydar	"Eur J Cancer 15:659-679,1979"
CNS:SF_268	Central nervous system	24	F	Rad	no	"Glioblastoma, ud"	NA	"2n+, Hyperdiploid (47-57)"	MT	-38	33.1	?	P.L.Kornblith	"Acta Neuropathol 75: 92-103, 1987"
CNS:SF_295	Central nervous system	67	F	Rad	no	"Glioblastoma, ud"	NA	"5n+/-, Near-pentaploid 115+/- (104-126)"	MT	91	29.5	University of California	M.L. Rosenblum	"Acta Neuropathol 75: 92-103, 1988"
CNS:SF_539	Central nervous system	34	F	Rad/BCNU/5FU/HU/6MP	no	Glial cell neoplasm	NA	"4n+/-, Near-tetraploid 92+/- (81-103)"	WT	-40	35.4	University of California	M.L. Rosenblum	"J Neuropathol Exp Neurol 40: 201-229, 1981"
CNS:SNB_19	Central nervous system	47	M	None	no	"Glioblastoma, ud"	NA	"3n+/-, Near-triploid 69+/- (58-80)"	MT	-41	34.6	NINCDS	P.L. Kornblith	"Cancer 47: 255, 1981"
CNS:SNB_75	Central nervous system	NA	F	None	no	Astrocytoma	NA	"2n+, Hyperdiploid (47-57)"	MT	-38	62.8	NINCDS	P.L. Kornblith	?
CNS:U251	Central nervous system	75	M	NA	no	"Glioblastoma,ud"	NA	"2n+, Hyperdiploid (47-57)"	MT	-19	23.8	"University of Uppsala, Sweden"	?	"J Neuropathol Exp Neurol 40: 410-427, 1981"
CO:COLO205	Colon	70	M	NA	yes	Adenocarcinoma	Ascites	"3n, Triploid (69)"	MT	7	23.8	Denver Medical Hospital	G.E. Moore	"Can Res. 38: 1345-1355, 1978"
