"","x"
"1","17647"
"2","17652"
"3","19502"
"4","19646"
"5","20535"
"6","21531"
"7","22227"
"8","22600"
"9","23676"
"10","24799"
"11","25434"
"12","25463"
"13","27102"
"14","27103"
"15","28430"
"16","28566"
"17","28567"
"18","28568"
"19","28569"
"20","30083"
"21","30417"
"22","30659"
"23","31692"
"24","31711"
"25","31778"
"26","31779"
"27","32149"
"28","32927"
"29","33413"
"30","33423"
"31","33467"
"32","33553"
"33","33690"
"34","33759"
"35","35027"
"36","35563"
"37","35855"
"38","36359"
"39","36408"
"40","36755"
"41","37248"
"42","37249"
"43","37261"
"44","37600"
"45","37876"
"46","37888"
"47","37889"
"48","37895"
"49","37898"
"50","37900"
"51","37901"
"52","39356"
"53","39575"
"54","41140"
"55","41880"
"56","43223"
"57","45565"
"58","45831"
"59","48269"
"60","48888"
"61","76885"
"62","148596"
"63","291094"
"64","603072"
"65","603073"
"66","603074"
"67","603075"
"68","603076"
"69","603077"
"70","616241"
"71","619230"
"72","619232"
"73","620258"
"74","621686"
"75","652524"
"76","652525"
"77","659548"
"78","659549"
"79","661254"
"80","665529"
"81","671899"
"82","671900"
"83","671901"
"84","672552"
"85","672553"
"86","673591"
"87","673592"
"88","673593"
"89","673594"
"90","673595"
"91","676194"
"92","688687"
"93","722134"
"94","748403"
"95","751297"
"96","754344"
"97","754345"
"98","754346"
"99","754348"
"100","754352"
"101","754353"
"102","754354"
"103","754359"
"104","754360"
"105","754361"
"106","754365"
"107","754366"
"108","755384"
"109","755385"
"110","755389"
"111","755606"
"112","755763"
"113","755769"
"114","755773"
"115","755926"
"116","755980"
"117","756083"
"118","756084"
"119","756085"
"120","756086"
"121","756087"
"122","756088"
"123","756089"
"124","756090"
"125","756091"
"126","756093"
"127","756095"
"128","756106"
"129","756110"
"130","756111"
"131","756641"
"132","756642"
"133","756643"
"134","756646"
"135","756648"
"136","756654"
"137","756659"
"138","756660"
"139","756662"
"140","756663"
"141","756876"
"142","756877"
"143","756879"
"144","757149"
"145","757334"
"146","757437"
"147","757439"
"148","757440"
"149","757444"
"150","758005"
"151","758242"
"152","758244"
"153","758245"
"154","758248"
"155","758249"
"156","758250"
"157","758251"
"158","758254"
"159","758256"
"160","758257"
"161","758484"
"162","758486"
"163","758488"
"164","758489"
"165","758591"
"166","758773"
"167","758873"
"168","759094"
"169","759095"
"170","759096"
"171","759498"
"172","759657"
"173","759658"
"174","759675"
"175","759677"
"176","759905"
"177","760143"
"178","760144"
"179","760442"
"180","760443"
"181","760536"
"182","760764"
"183","760765"
"184","760841"
"185","761069"
"186","761070"
"187","761188"
"188","761189"
"189","761191"
"190","761193"
"191","761194"
"192","761215"
"193","761385"
"194","761387"
"195","761390"
"196","761691"
"197","761692"
"198","761693"
"199","761759"
"200","761879"
"201","761931"
"202","762151"
"203","762152"
"204","762153"
"205","762154"
"206","762382"
"207","762418"
"208","762419"
"209","762521"
"210","762673"
"211","763444"
"212","763525"
"213","763526"
"214","763527"
"215","763564"
"216","763579"
"217","763832"
"218","763930"
"219","763931"
"220","764036"
"221","764037"
"222","764039"
"223","764042"
"224","764090"
"225","764135"
"226","764136"
"227","764238"
"228","764239"
"229","764334"
"230","764481"
"231","764487"
"232","764515"
