""	"NSC"	"NAME"	"SMILES"	"CONFIDENTIAL_FLAG"	"MOA"	"FDA_STATUS"	"TOTAL_EXPS"	"TOTAL_EXPS_AFTER_QC"	"PUBCHEM_ID"	"CAS"
"1"	"1"	"tolylquinone"	"CC1=CC(=O)C=CC1=O"	0	NA	NA	3	2	NA	"553979"
"17"	"17"	"4-AMINO-3-PENTADECYLPHENOL"	"CCCCCCCCCCCCCCCc1cc(O)ccc1N"	0	""	""	3	3	219123	"3158552"
"89"	"89"	"(dimethylamino)propiophenone hydrochloride"	"CN(C)CCC(=O)c1ccccc1"	0	NA	NA	3	2	NA	"879721"
"185"	"185"	"Cactinomycin"	"C[C@H]1C[C@H](C)C(=O)[C@@H](C1)[C@H](O)CC2CC(=O)NC(=O)C2"	0	NA	NA	2	1	NA	"66819"
"295"	"295"	"2-Phenylbutyric Acid"	"OC(=O)CCCc1ccccc1"	0	""	""	2	1	4775	"1821121"
"353"	"353"	"CHLORO-9-[[3-(DIETHYLAMINO)PROPYL]AMINO]-2-METHOXYACRIDI..."	"CCN(CC)CCCNc1c2ccc(Cl)cc2nc3ccc(OC)cc13"	0	""	""	1	1	24180741	"5336652"
"384"	"384"	"7-CHLORO-9-[[3-(DIPENTYLAMINO)PROPYL]AMINO]-1,2,3,4-TETR..."	"CCCCCN(CCCCC)CCCNc1c2CCCCc2nc3ccc(Cl)cc13"	0	""	""	1	1	54599265	"5336889"
"534"	"534"	"ACETOXYPHENANTHRYLMERCURY"	"[R][Hg]OC(=O)C.c1ccc2c(c1)ccc3ccccc23"	0	""	""	2	2	16685698	""
"596"	"596"	"3-BROMO-2,4,6-TRINITROTOLUENE"	"Cc1c(cc(c(Br)c1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]"	0	""	""	1	1	219376	"5333095"
"629"	"629"	"Bioxiran"	"C1OC1C2CO2"	0	""	""	1	1	11254	"1464535"
"721"	"721"	"isatin thiosemicarbazone"	"NC(=S)N\N=C\1/C(=O)Nc2ccccc12"	0	""	""	2	1	690109	"487161"
"739"	"739"	"AMINOPTERIN"	"Nc1nc(N)c2nc(CNc3ccc(cc3)C(=O)NC(CCC(=O)O)C(=O)O)cnc2n1"	0	"DHFR"	""	2	2	NA	"54626"
"740"	"740"	"METHOTREXATE"	"CN(Cc1cnc2nc(N)nc(N)c2n1)c3ccc(cc3)C(=O)N[C@@H](CCC(=O)O)C(=O)O"	0	"Df|DHFR"	"FDA approved"	135	76	126941	"59052"
"742"	"742"	"azaserin"	"NC(COC(=O)C=[N+]=[N-])C(=O)O"	0	""	""	5	2	460129	"115026"
"749"	"749"	"8-Azaguanine"	"NC1=NC(=O)c2[nH]nnc2N1"	0	NA	NA	4	4	NA	"134587"
"752"	"752"	"6-THIOGUANINE"	"NC1=NC(=S)c2[nH]cnc2N1"	0	"Ds|IMPDH2|IMPDH"	"FDA approved"	130	113	NA	"154427"
"755"	"755"	"6-MERCAPTOPURINE"	"S=C1N=CNc2nc[nH]c12"	0	"Ds|PPAT"	"FDA approved"	127	97	NA	"50442"
"757"	"757"	"Colchicine"	"COC1=CC=C2C(=CC1=O)[C@H](CCc3cc(OC)c(OC)c(OC)c23)NC(=O)C"	0	"TUBB"	"FDA approved"	14	7	NA	"64868"
"762"	"762"	"Nitrogen mustard"	"CN(CCCl)CCCl"	0	"A7|AlkAg"	"FDA approved"	54	48	NA	"55867"
"798"	"798"	"3-PHENYL-1-(2-PYRIDYL)-2-PROPEN-1-ONE"	"O=C(\C=C\c1ccccc1)c2ccccn2"	0	NA	NA	1	1	NA	"5337531"
"830"	"830"	"4-Pyridineacrylic acid"	"OC(=O)\C=C\c1ccncc1"	0	""	""	1	1	736782	"5337791"
"885"	"885"	"3,3'-DIAMINO-4,4'-BIS(DIMETHYLAMINO)BENZOPHENONE"	"CN(C)c1ccc(cc1N)C(=O)c2ccc(N(C)C)c(N)c2"	0	NA	NA	3	2	NA	"5340238"
"1010"	"1010"	"7-[.ALPHA.-(P-NITROANILINO)BENZYL]-8-QUINOLINOL"	"Oc1c(ccc2cccnc12)C(Nc3ccc(cc3)[N+](=O)[O-])c4ccccc4"	0	""	""	2	1	219563	"5335966"
"1011"	"1011"	"P-[[.ALPHA.-(8-HYDROXY-7-QUINOLYL)BENZYL]AMINO]BENZOIC ACID"	"OC(=O)c1ccc(NC(c2ccccc2)c3ccc4cccnc4c3O)cc1"	0	""	""	2	2	219564	"5335977"
"1012"	"1012"	"wln: t66 bnj iyr&mr bvq& jq"	"OC(=O)c1ccccc1NC(c2ccccc2)c3ccc4cccnc4c3O"	0	""	""	2	1	95307	"5394354"
"1013"	"1013"	"7-(.ALPHA.-ANILINO-P-NITROBENZYL)-8-QUINOLINOL"	"Oc1c(ccc2cccnc12)C(Nc3ccccc3)c4ccc(cc4)[N+](=O)[O-]"	0	""	""	2	2	219565	""
"1014"	"1014"	"7-[.ALPHA.-[(4-METHYL-2-PYRIDYL)AMINO]BENZYL]-8-QUINOLINOL"	"Cc1ccnc(NC(c2ccccc2)c3ccc4cccnc4c3O)c1"	0	""	""	1	1	219566	"5335988"
"1026"	"1026"	"acpc"	"NC1(CCCC1)C(=O)O"	0	""	""	5	2	2901	"52528"
"1027"	"1027"	"1,1,3-TRIBROMO-3-METHYL-2-BUTANONE"	"CC(C)(Br)C(=O)C(Br)Br"	0	""	""	3	2	219573	"1578058"
"1063"	"1063"	"6-CHLORO-2-METHOXY-9-[(5-PIPERIDINOPENTYL)AMINO]ACRIDINE"	"COc1ccc2nc3cc(Cl)ccc3c(NCCCCCN4CCCCC4)c2c1"	0	""	""	1	1	219600	""
"1199"	"1199"	"2-(ISOBORNYLOXY)-1,1-DIMETHYLETHYLAMINE"	"CC(C)(N)CO[C@H]1C[C@H]2CC[C@@]1(C)C2(C)C"	0	""	""	1	1	219648	"5396214"
"1338"	"1338"	"N-DECYL-2-IODOACETAMIDE"	"CCCCCCCCCCNC(=O)CI"	0	""	""	2	2	219690	"5348787"
"1390"	"1390"	"Allopurinol"	"O=C1NC=Nc2[nH]ncc12"	0	"AM|XDH"	"FDA approved"	4	2	NA	"315300"
"1393"	"1393"	"Pyrazoloadenine"	"Nc1ncnc2[nH]ncc12"	0	""	""	2	2	75420	"2380634"
"1433"	"1433"	"4-(BUTYLAMINO)-1-PHENYL-1H-PYRAZOLO[3,4-D]PYRIMIDINE"	"CCCCNc1ncnc2c1cnn2c3ccccc3"	0	""	""	2	2	219760	"68380529"
"1460"	"1460"	"tryptazan"	"NC(Cc1n[nH]c2ccccc12)C(=O)O"	0	""	""	1	1	95318	"526307"
"1482"	"1482"	"2-(2-METHYL-2-NITROPROPOXY)BORNANE"	"CC(C)(CO[C@H]1C[C@H]2CC[C@@]1(C)C2(C)C)[N+](=O)[O-]"	0	NA	NA	1	1	NA	""
"1507"	"1507"	"2-CHLORO-3-PHENOXY-1,4-NAPHTHOQUINONE"	"ClC1=C(Oc2ccccc2)C(=O)c3ccccc3C1=O"	0	""	""	2	1	219799	"71369170"
"1760"	"1760"	"3-PHENANTHRENEPROPIONIC ACID, HYDRAZIDE"	"NNC(=O)CCc1ccc2ccc3ccccc3c2c1"	0	""	""	1	1	219939	"5345879"
"1771"	"1771"	"Thiram"	"CN(C)C(=S)SSC(=S)N(C)C"	0	NA	NA	2	2	NA	"137268"
"1797"	"1797"	"o-Aminoazotoluene"	"Cc1ccccc1N=Nc2ccc(N)c(C)c2"	0	NA	NA	1	1	NA	"97563"
"1895"	"1895"	"GUANAZOLE"	"Nc1n[nH]c(N)n1"	0	"A7"	""	10	2	15078	"1455772"
"1906"	"1906"	"pmp (van)"	"SC(=S)N1CCCCC1"	0	NA	NA	4	2	NA	"98771"
"1910"	"1910"	"Alkarsodyl"	"C[As](=O)(C)O"	0	NA	NA	2	1	NA	"124652"
"1945"	"1945"	"GLUCONIC ACID, BARIUM SALT"	"OCC(O)C(O)C(O)C(O)C(=O)O"	0	""	""	1	1	5351603	"5328416"
"2012"	"2012"	"1-DODECYL-4-NONYLPYRIDINIUM CHLORIDE"	"CCCCCCCCCCCC[n+]1ccc(CCCCCCCCC)cc1"	0	""	""	1	1	24180869	""
"2013"	"2013"	"declid"	"OC(=O)CCCCCCCCC=C"	0	NA	NA	5	2	NA	"112389"
"2039"	"2039"	"oxin"	"Oc1cccc2cccnc12"	0	NA	NA	1	1	NA	"148243"
"2053"	"2053"	"TRIS(4-BIPHENYLYL)METHANOL"	"OC(c1ccc(cc1)c2ccccc2)(c3ccc(cc3)c4ccccc4)c5ccc(cc5)c6ccccc6"	0	""	""	1	1	219999	"5341140"
"2061"	"2061"	"3-(2-furyl)acrolein"	"O=C\C=C\c1occc1"	0	NA	NA	1	1	NA	"623303"
"2186"	"2186"	"thymophthalein"	"CC(C)c1cc(c(C)cc1O)C2(OC(=O)c3ccccc23)c4cc(C(C)C)c(O)cc4C"	0	""	""	2	1	31316	"125202"
"2384"	"2384"	"2,6-dibenzylidenecyclohexanone"	"O=C1\C(=C\c2ccccc2)\CCC/C/1=C\c3ccccc3"	0	NA	NA	4	2	NA	"897789"
"2604"	"2604"	"D.b.t.c."	"CCCC[Sn](Cl)(Cl)CCCC"	0	""	""	2	1	12688	"683181"
"2626"	"2626"	"Propyl Gallate"	"CCCOC(=O)c1cc(O)c(O)c(O)c1"	0	""	""	1	1	4947	"121799"
"2724"	"2724"	"phenyl p-tolyl sulfone"	"Cc1ccc(cc1)S(=O)(=O)c2ccccc2"	0	NA	NA	1	1	NA	"640573"
"2755"	"2755"	"avlon"	"C[n+]1c2cc(N)ccc2cc3ccc(N)cc13"	0	NA	NA	2	2	NA	"86408"
"2785"	"2785"	"QAICTYKDANKDKI-UHFFFAOYSA-N"	"COc1cc(c2ncccc2c1O)[N+](=O)[O-]"	0	""	""	1	1	135399288	"5323580"
"2805"	"2805"	"2,2',5,5'-Tetrahydroxy-4,4'-dimethylbiphenyl"	"Cc1cc(O)c(cc1O)c2cc(O)c(C)cc2O"	0	""	""	2	2	220284	"4371340"
"2829"	"2829"	"vetol"	"CC1=C(O)C(=O)C=CO1"	0	NA	NA	1	1	NA	"118718"
"3039"	"3039"	"SODIUM PHENYLACETATE"	"[Na+].OC(=O)Cc1ccccc1"	0	NA	NA	1	1	NA	"114705"
"3053"	"3053"	"Actinomycin D"	"CC(C)[C@H]1NC(=O)[C@@H](NC(=O)C2=C(N)C(=O)C(=C3Oc4c(C)ccc(C(=O)N[C@H]5[C@H](C)OC(=O)[C@H](C(C)C)N(C)C(=O)CN(C)C(=O)[C@@H]6CCCN6C(=O)[C@H](NC5=O)C(C)C)c4N=C23)C)[C@H](C)OC(=O)[C@H](C(C)C)N(C)C(=O)CN(C)C(=O)[C@@H]7CCCN7C1=O"	0	"Db"	"FDA approved"	132	92	NA	"50760"
"3055"	"3055"	"puromycin"	"COc1ccc(C[C@H](N)C(=O)NC2C(CO)OC(C2O)n3cnc4c(ncnc34)N(C)C)cc1"	0	NA	NA	1	1	NA	"58582"
